Time, Q
0.000000000000000000e+00,8.000000000000000444e-01
1.010101010101010083e-01,8.001216119979511765e-01
2.020202020202020166e-01,8.004831500393178034e-01
3.030303030303030387e-01,8.010796671953697157e-01
4.040404040404040331e-01,8.019062165373767037e-01
5.050505050505050830e-01,8.029578511366084470e-01
6.060606060606060774e-01,8.042296240643348471e-01
7.070707070707070718e-01,8.057165883918256943e-01
8.080808080808080662e-01,8.074137971903506683e-01
9.090909090909090606e-01,8.093163035311795594e-01
1.010101010101010166e+00,8.114191604855822693e-01
1.111111111111111160e+00,8.137174211248285882e-01
1.212121212121212155e+00,8.162061385201881958e-01
1.313131313131313149e+00,8.188803657429308824e-01
1.414141414141414144e+00,8.217351558643264386e-01
1.515151515151515138e+00,8.247655619556446549e-01
1.616161616161616132e+00,8.279666370881553217e-01
1.717171717171717127e+00,8.313334343331282295e-01
1.818181818181818121e+00,8.348610067618332797e-01
1.919191919191919116e+00,8.385444074455400409e-01
2.020202020202020332e+00,8.423786894555184146e-01
2.121212121212121104e+00,8.463589058630380801e-01
2.222222222222222321e+00,8.504801097393690501e-01
2.323232323232323093e+00,8.547373541557808929e-01
2.424242424242424310e+00,8.591256921835435101e-01
2.525252525252525082e+00,8.636401768939265811e-01
2.626262626262626299e+00,8.682758613581998963e-01
2.727272727272727071e+00,8.730277986476333574e-01
2.828282828282828287e+00,8.778910418334967547e-01
2.929292929292929060e+00,8.828606439870596567e-01
3.030303030303030276e+00,8.879316581795920760e-01
3.131313131313131048e+00,8.930991374823636919e-01
3.232323232323232265e+00,8.983581349666442950e-01
3.333333333333333481e+00,9.037037037037036757e-01
3.434343434343434254e+00,9.091308967648116246e-01
3.535353535353535470e+00,9.146347672212380431e-01
3.636363636363636243e+00,9.202103681442524996e-01
3.737373737373737459e+00,9.258527526051247847e-01
3.838383838383838231e+00,9.315569736751249108e-01
3.939393939393939448e+00,9.373180844255224464e-01
4.040404040404040664e+00,9.431311379275872930e-01
4.141414141414140992e+00,9.489911872525891301e-01
4.242424242424242209e+00,9.548932854717978591e-01
4.343434343434343425e+00,9.608324856564831595e-01
4.444444444444444642e+00,9.668038408779149329e-01
4.545454545454544970e+00,9.728024042073628586e-01
4.646464646464646187e+00,9.788232287160967271e-01
4.747474747474747403e+00,9.848613674753864400e-01
4.848484848484848619e+00,9.909118735565016767e-01
4.949494949494949836e+00,9.969698000307122276e-01
5.050505050505050164e+00,1.003030199969287883e+00
5.151515151515151381e+00,1.009088126443498323e+00
5.252525252525252597e+00,1.015138632524613449e+00
5.353535353535353813e+00,1.021176771283903273e+00
5.454545454545454142e+00,1.027197595792637141e+00
5.555555555555555358e+00,1.033196159122085067e+00
5.656565656565656575e+00,1.039167514343516840e+00
5.757575757575757791e+00,1.045106714528202030e+00
5.858585858585858119e+00,1.051008812747410870e+00
5.959595959595959336e+00,1.056868862072412707e+00
6.060606060606060552e+00,1.062681915574477554e+00
6.161616161616161769e+00,1.068443026324874978e+00
6.262626262626262097e+00,1.074147247394875215e+00
6.363636363636363313e+00,1.079789631855747611e+00
6.464646464646464530e+00,1.085365232778761957e+00
6.565656565656565746e+00,1.090869103235188264e+00
6.666666666666666963e+00,1.096296296296296324e+00
6.767676767676767291e+00,1.101641865033355483e+00
6.868686868686868507e+00,1.106900862517636197e+00
6.969696969696969724e+00,1.112068341820407813e+00
7.070707070707070940e+00,1.117139356012940343e+00
7.171717171717171269e+00,1.122108958166503356e+00
7.272727272727272485e+00,1.126972201352366643e+00
7.373737373737373701e+00,1.131724138641799993e+00
7.474747474747474918e+00,1.136359823106073419e+00
7.575757575757575246e+00,1.140874307816456490e+00
7.676767676767676463e+00,1.145262645844219218e+00
7.777777777777777679e+00,1.149519890260630950e+00
7.878787878787878896e+00,1.153641094136961920e+00
7.979797979797979224e+00,1.157621310544481474e+00
8.080808080808081328e+00,1.161455592554459848e+00
8.181818181818181657e+00,1.165138993238166831e+00
8.282828282828281985e+00,1.168666565666871549e+00
8.383838383838384090e+00,1.172033362911844678e+00
8.484848484848484418e+00,1.175234438044355345e+00
8.585858585858586522e+00,1.178264844135673561e+00
8.686868686868686851e+00,1.181119634257069118e+00
8.787878787878787179e+00,1.183793861479811804e+00
8.888888888888889284e+00,1.186282578875171412e+00
8.989898989898989612e+00,1.188580839514417509e+00
9.090909090909089940e+00,1.190683696468820330e+00
9.191919191919192045e+00,1.192586202809649443e+00
9.292929292929292373e+00,1.194283411608174195e+00
9.393939393939394478e+00,1.195770375935665042e+00
9.494949494949494806e+00,1.197042148863391553e+00
9.595959595959595134e+00,1.198093783462623296e+00
9.696969696969697239e+00,1.198920332804630284e+00
9.797979797979797567e+00,1.199516849960682086e+00
9.898989898989899672e+00,1.199878388002048712e+00
1.000000000000000000e+01,1.199999999999999734e+00
