Time, dQ
0.000000000000000000e+00,0.000000000000000000e+00
1.010101010101010083e-01,1.259871441689623499e-02
2.020202020202020166e-01,2.494031221303948456e-02
3.030303030303030387e-01,3.702479338842975393e-02
4.040404040404040331e-01,4.885215794306703441e-02
5.050505050505050830e-01,6.042240587695133641e-02
6.060606060606060774e-01,7.173553719008264606e-02
7.070707070707070718e-01,8.279155188246097030e-02
8.080808080808080662e-01,9.359044995408631606e-02
9.090909090909090606e-01,1.041322314049586695e-01
1.010101010101010166e+00,1.144168962350780583e-01
1.111111111111111160e+00,1.244444444444444547e-01
1.212121212121212155e+00,1.342148760330578450e-01
1.313131313131313149e+00,1.437281910009182706e-01
1.414141414141414144e+00,1.529843893480257178e-01
1.515151515151515138e+00,1.619834710743801587e-01
1.616161616161616132e+00,1.707254361799816489e-01
1.717171717171717127e+00,1.792102846648301329e-01
1.818181818181818121e+00,1.874380165289256106e-01
1.919191919191919116e+00,1.954086317722681376e-01
2.020202020202020332e+00,2.031221303948576862e-01
2.121212121212121104e+00,2.105785123966941730e-01
2.222222222222222321e+00,2.177777777777777923e-01
2.323232323232323093e+00,2.247199265381083222e-01
2.424242424242424310e+00,2.314049586776859568e-01
2.525252525252525082e+00,2.378328741965105297e-01
2.626262626262626299e+00,2.440036730945822074e-01
2.727272727272727071e+00,2.499173553719007956e-01
2.828282828282828287e+00,2.555739210284664886e-01
2.929292929292929060e+00,2.609733700642791199e-01
3.030303030303030276e+00,2.661157024793388559e-01
3.131313131313131048e+00,2.710009182736454747e-01
3.232323232323232265e+00,2.756290174471992538e-01
3.333333333333333481e+00,2.799999999999999711e-01
3.434343434343434254e+00,2.841138659320477378e-01
3.535353535353535470e+00,2.879706152433424982e-01
3.636363636363636243e+00,2.915702479338843078e-01
3.737373737373737459e+00,2.949127640036730558e-01
3.838383838383838231e+00,2.979981634527089085e-01
3.939393939393939448e+00,3.008264462809916995e-01
4.040404040404040664e+00,3.033976124885215953e-01
4.141414141414140992e+00,3.057116620752983738e-01
4.242424242424242209e+00,3.077685950413222571e-01
4.343434343434343425e+00,3.095684113865931897e-01
4.444444444444444642e+00,3.111111111111111160e-01
4.545454545454544970e+00,3.123966942148759807e-01
4.646464646464646187e+00,3.134251606978878946e-01
4.747474747474747403e+00,3.141965105601469133e-01
4.848484848484848619e+00,3.147107438016528702e-01
4.949494949494949836e+00,3.149678604224058764e-01
5.050505050505050164e+00,3.149678604224058209e-01
5.151515151515151381e+00,3.147107438016528702e-01
5.252525252525252597e+00,3.141965105601469133e-01
5.353535353535353813e+00,3.134251606978879501e-01
5.454545454545454142e+00,3.123966942148759807e-01
5.555555555555555358e+00,3.111111111111110605e-01
5.656565656565656575e+00,3.095684113865931897e-01
5.757575757575757791e+00,3.077685950413223126e-01
5.858585858585858119e+00,3.057116620752983738e-01
5.959595959595959336e+00,3.033976124885215397e-01
6.060606060606060552e+00,3.008264462809916995e-01
6.161616161616161769e+00,2.979981634527087975e-01
6.262626262626262097e+00,2.949127640036730558e-01
6.363636363636363313e+00,2.915702479338842523e-01
6.464646464646464530e+00,2.879706152433424982e-01
6.565656565656565746e+00,2.841138659320476267e-01
6.666666666666666963e+00,2.799999999999999156e-01
6.767676767676767291e+00,2.756290174471991983e-01
6.868686868686868507e+00,2.710009182736455302e-01
6.969696969696969724e+00,2.661157024793387449e-01
7.070707070707070940e+00,2.609733700642790644e-01
7.171717171717171269e+00,2.555739210284664331e-01
7.272727272727272485e+00,2.499173553719007956e-01
7.373737373737373701e+00,2.440036730945820687e-01
7.474747474747474918e+00,2.378328741965104465e-01
7.575757575757575246e+00,2.314049586776859013e-01
7.676767676767676463e+00,2.247199265381083222e-01
7.777777777777777679e+00,2.177777777777776536e-01
7.878787878787878896e+00,2.105785123966940897e-01
7.979797979797979224e+00,2.031221303948576307e-01
8.080808080808081328e+00,1.954086317722680266e-01
8.181818181818181657e+00,1.874380165289254718e-01
8.282828282828281985e+00,1.792102846648300774e-01
8.383838383838384090e+00,1.707254361799815101e-01
8.484848484848484418e+00,1.619834710743800199e-01
8.585858585858586522e+00,1.529843893480254680e-01
8.686868686868686851e+00,1.437281910009181318e-01
8.787878787878787179e+00,1.342148760330578172e-01
8.888888888888889284e+00,1.244444444444443160e-01
8.989898989898989612e+00,1.144168962350779195e-01
9.090909090909089940e+00,1.041322314049586556e-01
9.191919191919192045e+00,9.359044995408617729e-02
9.292929292929292373e+00,8.279155188246083152e-02
9.393939393939394478e+00,7.173553719008238239e-02
9.494949494949494806e+00,6.042240587695119070e-02
9.595959595959595134e+00,4.885215794306702747e-02
9.696969696969697239e+00,3.702479338842961515e-02
9.797979797979797567e+00,2.494031221303934578e-02
9.898989898989899672e+00,1.259871441689595917e-02
1.000000000000000000e+01,-2.775557561562891351e-16
