Time, ddQ
0.000000000000000000e+00,-7.800000000000001377e-02
1.010101010101010083e-01,-7.642424242424243619e-02
2.020202020202020166e-01,-7.484848484848485861e-02
3.030303030303030387e-01,-7.327272727272728103e-02
4.040404040404040331e-01,-7.169696969696971733e-02
5.050505050505050830e-01,-7.012121212121213976e-02
6.060606060606060774e-01,-6.854545454545456218e-02
7.070707070707070718e-01,-6.696969696969698460e-02
8.080808080808080662e-01,-6.539393939393940702e-02
9.090909090909090606e-01,-6.381818181818182945e-02
1.010101010101010166e+00,-6.224242424242425187e-02
1.111111111111111160e+00,-6.066666666666668123e-02
1.212121212121212155e+00,-5.909090909090910365e-02
1.313131313131313149e+00,-5.751515151515153301e-02
1.414141414141414144e+00,-5.593939393939395543e-02
1.515151515151515138e+00,-5.436363636363637786e-02
1.616161616161616132e+00,-5.278787878787880028e-02
1.717171717171717127e+00,-5.121212121212122270e-02
1.818181818181818121e+00,-4.963636363636365206e-02
1.919191919191919116e+00,-4.806060606060608142e-02
2.020202020202020332e+00,-4.648484848484849691e-02
2.121212121212121104e+00,-4.490909090909092627e-02
2.222222222222222321e+00,-4.333333333333334869e-02
2.323232323232323093e+00,-4.175757575757577805e-02
2.424242424242424310e+00,-4.018181818181819354e-02
2.525252525252525082e+00,-3.860606060606062290e-02
2.626262626262626299e+00,-3.703030303030304532e-02
2.727272727272727071e+00,-3.545454545454547468e-02
2.828282828282828287e+00,-3.387878787878789710e-02
2.929292929292929060e+00,-3.230303030303031953e-02
3.030303030303030276e+00,-3.072727272727274195e-02
3.131313131313131048e+00,-2.915151515151517131e-02
3.232323232323232265e+00,-2.757575757575759373e-02
3.333333333333333481e+00,-2.600000000000001615e-02
3.434343434343434254e+00,-2.442424242424243858e-02
3.535353535353535470e+00,-2.284848484848486100e-02
3.636363636363636243e+00,-2.127272727272729036e-02
3.737373737373737459e+00,-1.969696969696971278e-02
3.838383838383838231e+00,-1.812121212121214214e-02
3.939393939393939448e+00,-1.654545454545456457e-02
4.040404040404040664e+00,-1.496969696969698005e-02
4.141414141414140992e+00,-1.339393939393941635e-02
4.242424242424242209e+00,-1.181818181818183877e-02
4.343434343434343425e+00,-1.024242424242426119e-02
4.444444444444444642e+00,-8.666666666666683616e-03
4.545454545454544970e+00,-7.090909090909119916e-03
4.646464646464646187e+00,-5.515151515151542339e-03
4.747474747474747403e+00,-3.939393939393950883e-03
4.848484848484848619e+00,-2.363636363636373305e-03
4.949494949494949836e+00,-7.878787878787957277e-04
5.050505050505050164e+00,7.878787878787679722e-04
5.151515151515151381e+00,2.363636363636345550e-03
5.252525252525252597e+00,3.939393939393923127e-03
5.353535353535353813e+00,5.515151515151500705e-03
5.454545454545454142e+00,7.090909090909064405e-03
5.555555555555555358e+00,8.666666666666641983e-03
5.656565656565656575e+00,1.024242424242421956e-02
5.757575757575757791e+00,1.181818181818179714e-02
5.858585858585858119e+00,1.339393939393937472e-02
5.959595959595959336e+00,1.496969696969695229e-02
6.060606060606060552e+00,1.654545454545452987e-02
6.161616161616161769e+00,1.812121212121210745e-02
6.262626262626262097e+00,1.969696969696967115e-02
6.363636363636363313e+00,2.127272727272724873e-02
6.464646464646464530e+00,2.284848484848482630e-02
6.565656565656565746e+00,2.442424242424240388e-02
6.666666666666666963e+00,2.599999999999998146e-02
6.767676767676767291e+00,2.757575757575754516e-02
6.868686868686868507e+00,2.915151515151513661e-02
6.969696969696969724e+00,3.072727272727271419e-02
7.070707070707070940e+00,3.230303030303029177e-02
7.171717171717171269e+00,3.387878787878785547e-02
7.272727272727272485e+00,3.545454545454543305e-02
7.373737373737373701e+00,3.703030303030301063e-02
7.474747474747474918e+00,3.860606060606058820e-02
7.575757575757575246e+00,4.018181818181815190e-02
7.676767676767676463e+00,4.175757575757572948e-02
7.777777777777777679e+00,4.333333333333330706e-02
7.878787878787878896e+00,4.490909090909088464e-02
7.979797979797979224e+00,4.648484848484846221e-02
8.080808080808081328e+00,4.806060606060605367e-02
8.181818181818181657e+00,4.963636363636361737e-02
8.282828282828281985e+00,5.121212121212118107e-02
8.383838383838384090e+00,5.278787878787877252e-02
8.484848484848484418e+00,5.436363636363633622e-02
8.585858585858586522e+00,5.593939393939392768e-02
8.686868686868686851e+00,5.751515151515149138e-02
8.787878787878787179e+00,5.909090909090905508e-02
8.888888888888889284e+00,6.066666666666664653e-02
8.989898989898989612e+00,6.224242424242421023e-02
9.090909090909089940e+00,6.381818181818177393e-02
9.191919191919192045e+00,6.539393939393936539e-02
9.292929292929292373e+00,6.696969696969692909e-02
9.393939393939394478e+00,6.854545454545452055e-02
9.494949494949494806e+00,7.012121212121211200e-02
9.595959595959595134e+00,7.169696969696967570e-02
9.696969696969697239e+00,7.327272727272726716e-02
9.797979797979797567e+00,7.484848484848483086e-02
9.898989898989899672e+00,7.642424242424242231e-02
1.000000000000000000e+01,7.799999999999998601e-02
